timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore
1753412400000,758.610,759.710,757.740,759.55,1899.33,1753412459999,1440698.00910,2587,670.52,508794.61020,0
1753412460000,759.590,760.440,759.480,759.58,498.40,1753412519999,378674.75240,1196,263.95,200541.94740,0
1753412520000,759.570,759.840,758.230,758.78,665.21,1753412579999,504905.66190,1291,268.07,203459.13090,0
1753412580000,758.740,760.190,758.440,759.8,691.54,1753412639999,525050.93030,1202,515.26,391221.65570,0
1753412640000,759.840,759.850,758.000,758.0,687.30,1753412699999,521634.34520,1234,205.96,156353.18000,0
1753412700000,758.010,758.690,757.520,758.36,1421.86,1753412759999,1078051.28350,1665,818.40,620578.51270,0
1753412760000,758.360,761.310,757.060,761.15,1875.45,1753412819999,1423636.93990,3138,1271.30,965254.70080,0
1753412820000,761.150,762.600,760.680,762.44,1208.78,1753412879999,921043.03740,1916,751.56,572662.99940,0
1753412880000,762.480,763.440,762.220,762.6,1365.84,1753412939999,1041999.46210,1726,902.98,688946.38330,0
1753412940000,762.610,763.860,762.610,763.3,1107.53,1753412999999,845237.33140,1560,647.13,493917.35150,0
1753413000000,763.310,763.700,762.310,763.3,874.86,1753413059999,667559.70180,1512,433.77,331001.37390,0
1753413060000,763.290,763.420,762.560,762.73,513.33,1753413119999,391634.42480,1018,396.06,302162.42060,0
1753413120000,762.730,763.000,761.470,761.47,544.80,1753413179999,415440.74510,1170,158.65,120993.54650,0
1753413180000,761.460,762.280,761.060,762.0,622.61,1753413239999,474173.16630,1141,263.01,200299.49590,0
1753413240000,762.000,762.630,761.510,761.79,939.96,1753413299999,716349.53400,1046,458.38,349381.02600,0
1753413300000,761.800,762.050,759.690,759.69,2060.58,1753413359999,1567848.26690,2532,401.03,305091.79290,0
1753413360000,759.700,760.480,759.130,760.45,1018.02,1753413419999,773491.33420,1599,497.91,378338.45030,0
1753413420000,760.460,760.780,759.640,760.05,647.92,1753413479999,492456.56170,1137,304.25,231217.92320,0
1753413480000,760.060,761.410,759.850,760.85,858.63,1753413539999,653220.01990,1122,618.06,470162.76060,0
1753413540000,760.820,761.040,760.350,760.6,303.84,1753413599999,231166.86100,674,111.35,84705.39150,0
1753413600000,760.530,761.760,760.530,761.76,517.23,1753413659999,393725.04870,993,291.26,221706.64970,0
1753413660000,761.760,762.800,761.620,762.68,862.55,1753413719999,657413.03780,1271,513.89,391716.23720,0
1753413720000,762.710,763.710,762.710,762.86,1145.96,1753413779999,874682.74380,1327,658.07,502285.51870,0
1753413780000,762.860,763.090,761.900,762.29,467.40,1753413839999,356326.93610,901,293.14,223472.94970,0
1753413840000,762.300,762.860,761.710,762.0,217.51,1753413899999,165813.12390,689,89.47,68203.02670,0
1753413900000,761.920,762.980,761.770,762.17,366.37,1753413959999,279266.29740,760,191.70,146114.96030,0
1753413960000,762.170,762.270,761.370,762.16,411.63,1753414019999,313611.25550,772,107.00,81529.60760,0
1753414020000,762.170,762.240,761.090,761.77,496.29,1753414079999,378012.25660,780,219.06,166809.42420,0
1753414080000,761.720,761.770,760.550,760.56,288.93,1753414139999,219920.05440,682,45.67,34767.57750,0
1753414140000,760.560,760.720,759.850,759.88,590.55,1753414199999,448941.25840,1055,203.31,154570.64290,0
1753414200000,759.880,759.880,757.340,757.59,1546.16,1753414259999,1172258.65700,2578,701.53,531868.76420,0
1753414260000,757.600,757.890,756.120,756.34,1780.56,1753414319999,1347816.56610,2463,673.89,510069.26080,0
1753414320000,756.320,756.540,755.120,755.19,3438.09,1753414379999,2597959.75030,2830,1943.26,1468299.41880,0
1753414380000,755.190,755.660,753.180,753.93,4415.23,1753414439999,3330147.06240,4579,1987.08,1498252.13810,0
1753414440000,753.870,755.260,753.200,754.79,2210.79,1753414499999,1667721.06060,2862,1639.34,1236691.85190,0
1753414500000,754.780,755.420,754.200,754.24,1251.22,1753414559999,944455.77600,1686,905.68,683658.94140,0
1753414560000,754.250,754.810,753.470,754.11,2032.54,1753414619999,1532744.92140,2263,563.61,425102.71010,0
1753414620000,754.170,754.940,754.040,754.21,965.75,1753414679999,728725.33900,1328,625.59,472084.09220,0
1753414680000,754.340,755.650,754.200,755.55,563.52,1753414739999,425503.00650,1120,305.89,230955.02600,0
1753414740000,755.550,755.550,754.250,754.55,603.33,1753414799999,455392.35270,1206,355.76,268517.91700,0
1753414800000,754.550,756.010,754.480,755.48,1080.80,1753414859999,816068.07890,1462,721.25,544572.88130,0
1753414860000,755.480,755.920,754.890,755.75,592.50,1753414919999,447634.01660,1238,322.12,243379.14540,0
1753414920000,755.740,756.890,755.170,755.18,1090.29,1753414979999,824349.40730,1739,841.30,636072.72250,0
1753414980000,755.180,755.910,754.870,754.87,1444.20,1753415039999,1090855.61550,1193,325.67,245977.73940,0
1753415040000,754.870,755.620,754.760,755.61,415.61,1753415099999,313843.81500,861,201.90,152470.23620,0
1753415100000,755.610,755.610,753.830,754.78,897.30,1753415159999,676999.92520,1645,360.68,272076.32910,0
1753415160000,754.790,757.120,754.790,756.4,872.39,1753415219999,659549.61870,1947,605.26,457548.63160,0
1753415220000,756.390,756.570,755.360,755.97,972.73,1753415279999,735472.31000,1186,420.08,317621.36330,0
1753415280000,755.970,757.270,755.960,756.38,1528.26,1753415339999,1156395.43390,1433,1137.07,860394.62870,0
1753415340000,756.360,757.390,756.080,757.38,544.43,1753415399999,411872.85310,1140,340.50,257589.99430,0
1753415400000,757.380,757.460,755.750,755.81,662.18,1753415459999,500947.19970,1129,350.90,265401.50910,0
1753415460000,755.900,756.490,755.560,755.56,723.49,1753415519999,547030.81320,1102,169.29,127991.34040,0
1753415520000,755.570,756.870,755.550,756.71,698.60,1753415579999,528340.67000,949,561.98,425026.01940,0
1753415580000,756.710,757.050,756.100,756.1,355.69,1753415639999,269121.29040,733,154.49,116889.21400,0
1753415640000,756.100,756.880,756.100,756.73,764.22,1753415699999,578107.41450,981,319.38,241600.28790,0
