timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore
1753412400000,178.7500,179.3200,178.4100,179.13,142168.65,1753412459999,25420879.170600,10645,58045.78,10387778.605700,0
1753412460000,179.1300,179.3700,179.0100,179.02,33051.44,1753412519999,5922864.041900,4144,19726.74,3535190.243600,0
1753412520000,179.0200,179.1500,178.5600,178.56,42098.23,1753412579999,7526542.191100,4371,16230.25,2901457.981800,0
1753412580000,178.5600,179.0700,178.4800,178.91,53211.31,1753412639999,9514813.892300,5625,24828.69,4440363.484600,0
1753412640000,178.9000,178.9100,178.0900,178.13,77625.21,1753412699999,13847136.483600,7192,20783.18,3707928.620600,0
1753412700000,178.1300,178.6800,178.0700,178.48,67467.57,1753412759999,12033432.765800,10113,31910.15,5691633.946300,0
1753412760000,178.4700,179.4000,178.0600,179.27,68047.29,1753412819999,12160597.839700,12131,39999.61,7148180.877800,0
1753412820000,179.2700,179.6800,179.2000,179.44,64668.30,1753412879999,11606203.968400,6745,37285.02,6690981.413300,0
1753412880000,179.4400,179.6000,179.2100,179.23,44852.67,1753412939999,8046342.513400,4685,21786.34,3909165.564000,0
1753412940000,179.2300,179.3900,179.0300,179.04,36632.04,1753412999999,6566622.726500,4043,16933.18,3035705.345600,0
1753413000000,179.0400,179.2800,178.8000,179.16,49055.29,1753413059999,8784683.573300,5362,28747.44,5149116.456300,0
1753413060000,179.1700,179.3300,179.0700,179.09,24260.19,1753413119999,4347335.724000,2915,12738.56,2282825.489200,0
1753413120000,179.0900,179.3000,178.8600,178.87,22299.92,1753413179999,3994571.980100,2911,6470.24,1159432.776200,0
1753413180000,178.8700,178.9300,178.6000,178.78,27451.79,1753413239999,4908148.132300,3936,10581.87,1891872.456200,0
1753413240000,178.7900,179.0400,178.6600,178.7,38483.51,1753413299999,6880002.796700,3056,14868.25,2658199.118800,0
1753413300000,178.7000,178.8000,178.1000,178.3,75989.62,1753413359999,13557224.160400,6900,23623.11,4214591.110600,0
1753413360000,178.3100,178.3600,178.0900,178.31,64474.88,1753413419999,11494490.587600,5130,21834.90,3892144.488900,0
1753413420000,178.3000,178.5800,178.2000,178.45,25447.86,1753413479999,4538889.589200,4087,15356.76,2739229.166400,0
1753413480000,178.4500,178.7200,178.3200,178.48,20524.44,1753413539999,3664566.535300,3436,11048.44,1972759.831900,0
