timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore
1753412400000,0.31172,0.31196,0.31156,0.31187,925688,1753412459999,288536.27741,1088,375829,117168.46752,0
1753412460000,0.31187,0.31218,0.31169,0.31178,812302,1753412519999,253328.80935,581,375538,117106.05226,0
1753412520000,0.31178,0.31180,0.31160,0.31164,330190,1753412579999,102926.38483,266,91955,28664.33509,0
1753412580000,0.31164,0.31201,0.31158,0.31193,530123,1753412639999,165265.96979,339,374597,116774.86491,0
1753412640000,0.31193,0.31193,0.31158,0.3116,760188,1753412699999,237016.47957,355,214607,66915.64025,0
1753412700000,0.31159,0.31176,0.31153,0.31172,1502250,1753412759999,468077.41208,546,421348,131301.54756,0
1753412760000,0.31171,0.31250,0.31150,0.31244,1049004,1753412819999,327232.36272,784,668010,208414.87637,0
1753412820000,0.31243,0.31306,0.31237,0.31296,2101938,1753412879999,657303.41118,724,1937329,605812.51711,0
1753412880000,0.31296,0.31310,0.31289,0.31295,512130,1753412939999,160283.87343,345,340250,106490.47056,0
1753412940000,0.31295,0.31304,0.31280,0.31296,528431,1753412999999,165374.85854,331,418585,131003.35752,0
1753413000000,0.31297,0.31327,0.31282,0.31317,1867461,1753413059999,584689.38461,560,1719611,538413.48973,0
1753413060000,0.31316,0.31348,0.31312,0.31333,786356,1753413119999,246414.80430,482,596473,186904.90668,0
1753413120000,0.31333,0.31351,0.31325,0.31327,326314,1753413179999,102277.89537,366,152204,47713.13417,0
1753413180000,0.31328,0.31333,0.31307,0.31332,507237,1753413239999,158879.98678,359,255777,80116.84894,0
1753413240000,0.31333,0.31351,0.31317,0.3134,423074,1753413299999,132578.97374,400,189774,59472.56923,0
1753413300000,0.31338,0.31347,0.31283,0.31284,634071,1753413359999,198523.46780,485,205413,64332.15610,0
1753413360000,0.31283,0.31298,0.31273,0.3129,786376,1753413419999,246034.71126,484,156542,48975.00179,0
1753413420000,0.31290,0.31301,0.31261,0.31287,325353,1753413479999,101749.59939,300,57836,18088.01740,0
1753413480000,0.31287,0.31303,0.31264,0.31274,1300712,1753413539999,407051.48834,373,921776,288499.40356,0
1753413540000,0.31274,0.31282,0.31262,0.31266,371473,1753413599999,116161.89760,252,80631,25213.78089,0
